Data extracted on 09/09/2024 14:35:29 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,Tertiary education (levels 5-8),,
Sex,,Total,,
Age class,,65 years or over,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),20.9,27.6,19.5,32
Belgium,22.4,19.1,17.4,41
Bulgaria,35.5,24,17.9,22.6
Czechia,14.7,26.6,22.2,36.4
Denmark,11.3,32.9,21.1,34.7
Germany,:,:,:,:
Estonia,19.6,27.5,17.5,35.3
Ireland,10.9,23.9,17.3,47.9
Greece,32.3,41.6,16.2,10
Spain,20.9,35.6,18.8,24.7
France,11.8,22.6,17.9,47.7
Croatia,31.8,31.2,21.3,15.6
Italy,30.4,18.2,17.2,34.1
Cyprus,36.4,29.7,18.3,15.6
Latvia,28.1,23.9,22.2,25.9
Lithuania,29.4,29.1,17.8,23.7
Luxembourg,5.8,37.9,21.9,34.4
Hungary,18.9,31.8,22.3,27
Malta,22.8,25,17.8,34.4
Netherlands,15.7,24.5,30.4,29.4
Austria,19.5,31,18.7,30.8
Poland,17,23.4,19.5,40.1
Portugal,19.2,37.7,21.4,21.7
Romania,30.3,42.5,18.4,8.7
Slovenia,18.9,27,20.3,33.8
Slovakia,23.4,38.1,21.1,17.4
Finland,15.1,31.4,18,35.5
Sweden,13.5,21.1,23.5,42
Norway,13.7,26,23.3,37.1
Switzerland,10.6,25.5,21.4,42.5
Montenegro,44.4,24.3,18.6,12.7
Serbia,34.7,31.5,18.4,15.4
Türkiye,36.8,28.4,15.8,19
,,,,
Special value,,,,
:,not available,,,
