Data extracted on 09/09/2024 14:35:24 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Dataset: ,"Persons reading books in the last 12 months by sex, age, educational attainment and number of books [ilc_scp27]",,,
Last updated: ,22/08/2024 23:00,,,
,,,,
Time frequency,,Annual,,
International Standard Classification of Education (ISCED 2011),,"Less than primary, primary and lower secondary education (levels 0-2)",,
Sex,,Total,,
Age class,,From 35 to 44 years,,
Unit of measure,,Percentage,,
Time,,2022,,
,,,,
N_BOOK (Labels),No books,Less than 5 books,From 5 to 9 books,10 books or more
GEO (Labels),,,,
European Union - 27 countries (from 2020),76,16.5,3.8,3.7
Belgium,72.2,14.3,9.8,3.7
Bulgaria,95.8,2.6,0.7,0.9
Czechia,63.3,24.7,2.5,9.6
Denmark,61.2,21.5,4.4,12.8
Germany,:,:,:,:
Estonia,62.1,24.4,7.6,5.9
Ireland,68.8,15.3,4.1,11.7
Greece,78.9,16.6,2.6,1.9
Spain,68.9,24.3,4.4,2.4
France,66.3,23.4,4.7,5.6
Croatia,90.2,5.6,4.2,0
Italy,87.7,7,2.3,2.9
Cyprus,90.3,6.8,2.5,0.4
Latvia,86.3,7.2,4.5,2.1
Lithuania,86.9,9.3,2.1,1.7
Luxembourg,56.6,25,3.5,14.9
Hungary,87.7,9,2.4,0.9
Malta,75.5,18.9,2.6,3
Netherlands,64,24.7,3.6,7.8
Austria,58.4,28.7,9.7,3.3
Poland,82.4,7.7,1.9,8
Portugal,79.1,16.4,2.7,1.8
Romania,93.9,5.7,0.1,0.3
Slovenia,66.4,15.8,13.5,4.3
Slovakia,94.3,5.3,0.5,0
Finland,55.7,17.8,15,11.5
Sweden,46.7,27.1,11.4,14.8
Norway,44.2,31.1,11.9,12.8
Switzerland,26.6,26,26,21.3
Montenegro,92.6,6,1,0.4
Serbia,94.7,4.3,0.6,0.5
Türkiye,86,11,1.7,1.3
,,,,
Special value,,,,
:,not available,,,
