,International Standard Classification of Education (ISCED 2011),Tertiary education (levels 5-8)
,Sex,Total
,Sex,Males
,Sex,Females
,Age class,From 16 to 24 years
,Age class,From 16 to 29 years
,Age class,From 16 to 44 years
,Age class,From 16 to 64 years
,Age class,16 years or over
,Age class,From 20 to 64 years
,Age class,From 25 to 29 years
,Age class,From 25 to 34 years
,Age class,From 30 to 54 years
,Age class,From 35 to 44 years
,Age class,From 45 to 54 years
,Age class,From 45 to 64 years
,Age class,From 55 to 64 years
,Age class,From 65 to 74 years
,Age class,65 years or over
,Age class,From 75 to 84 years
,Age class,75 years or over
,Geopolitical entity (reporting),European Union - 27 countries (from 2020)
,Geopolitical entity (reporting),Poland
